Class,Feature,Feature_ID,Importance
1-Slow,PF3D7_0532200_MeanImputer,1329,0.007428979
1-Slow,PF3D7_1117700_MeanImputer,3420,0.007417361
1-Slow,PF3D7_0406700_MeanImputer,739,0.007376109
1-Slow,PF3D7_0626000_MeanImputer,1626,0.007334051
1-Slow,PF3D7_1406000_MeanImputer,5252,0.007318602
1-Slow,PF3D7_0404300_MeanImputer,712,0.007125045
1-Slow,PF3D7_1362600_MeanImputer,5077,0.007122268
1-Slow,PF3D7_1126500_MeanImputer,3517,0.007039681
1-Slow,PF3D7_0322100_MeanImputer,636,0.007037791
1-Slow,PF3D7_0519900_MeanImputer,1190,0.006981393
1-Slow,PF3D7_1465900_MeanImputer,5886,0.006971136
1-Slow,PF3D7_1343300_MeanImputer,4865,0.006966533
1-Slow,PF3D7_0904000_MeanImputer,2450,0.006947875
1-Slow,PF3D7_1133700_MeanImputer,3594,0.006881275
1-Slow,PF3D7_1439300_MeanImputer,5596,0.0067929
1-Slow,PF3D7_1467300_MeanImputer,5900,0.006744782
1-Slow,PF3D7_1408300_MeanImputer,5278,0.006715663
1-Slow,PF3D7_0810500_MeanImputer,2152,0.006651595
1-Slow,PF3D7_1130700_MeanImputer,3558,0.006637351
1-Slow,PF3D7_0418500_MeanImputer,876,0.006608765
1-Slow,PF3D7_1347700_MeanImputer,4912,0.006584297
1-Slow,PF3D7_1406700_MeanImputer,5259,0.006542368
1-Slow,PF3D7_1110200_MeanImputer,3345,0.006445717
1-Slow,PF3D7_0719900_MeanImputer,1908,0.006401495
1-Slow,PF3D7_1460700_MeanImputer,5833,0.006390505
1-Slow,PF3D7_0921200_MeanImputer,2642,0.006324395
1-Slow,PF3D7_1225100_MeanImputer,4052,0.006310192
1-Slow,PF3D7_0504000_MeanImputer,999,0.006278256
1-Slow,PF3D7_0424700_MeanImputer,941,0.006249301
1-Slow,PF3D7_0516700_MeanImputer,1149,0.006199098
1-Slow,PF3D7_0511400_MeanImputer,1083,0.006193235
1-Slow,PF3D7_0304500_MeanImputer,437,0.006144615
1-Slow,PF3D7_1373500_MeanImputer,5185,0.006072397
1-Slow,PF3D7_1348500_MeanImputer,4921,0.00604929
1-Slow,PF3D7_0208600_MeanImputer,244,0.005960087
1-Slow,PF3D7_0924500_MeanImputer,2680,0.005887757
1-Slow,PF3D7_1401500_MeanImputer,5206,0.005880214
1-Slow,PF3D7_1121700_MeanImputer,3465,0.005845861
1-Slow,PF3D7_0520600_MeanImputer,1198,0.005835028
1-Slow,PF3D7_0800700_MeanImputer,2049,0.005803527
1-Slow,PF3D7_0425100_MeanImputer,946,0.005748584
1-Slow,PF3D7_1239200_MeanImputer,4199,0.005701044
1-Slow,PF3D7_0733000_MeanImputer,2043,0.00567576
1-Slow,PF3D7_0724700_MeanImputer,1963,0.005667544
1-Slow,PF3D7_0206800_MeanImputer,225,0.00563329
1-Slow,PF3D7_1369500_MeanImputer,5162,0.005601731
1-Slow,PF3D7_0222800_MeanImputer,381,0.005550043
1-Slow,PF3D7_1034200_MeanImputer,3188,0.005532038
1-Slow,PF3D7_0900300_MeanImputer,2414,0.005488199
1-Slow,PF3D7_1350800_MeanImputer,4949,0.005403096
1-Slow,PF3D7_0903400_MeanImputer,2445,0.005389806
1-Slow,PF3D7_0215700_MeanImputer,319,0.005384419
1-Slow,PF3D7_1464200_MeanImputer,5868,0.00537323
1-Slow,PF3D7_1226400_MeanImputer,4065,0.005359435
1-Slow,PF3D7_1426700_MeanImputer,5454,0.005320308
1-Slow,PF3D7_1147900_MeanImputer,3744,0.005298473
1-Slow,PF3D7_1304300_MeanImputer,4424,0.005226375
1-Slow,PF3D7_1142000_MeanImputer,3679,0.005212028
1-Slow,PF3D7_1353100_MeanImputer,4973,0.005198334
1-Slow,PF3D7_1222500_MeanImputer,4019,0.005148268
1-Slow,PF3D7_1255200_MeanImputer,4376,0.005119156
1-Slow,PF3D7_0218600_MeanImputer,351,0.005117741
1-Slow,PF3D7_0401400_MeanImputer,681,0.005105923
1-Slow,PF3D7_1466300_MeanImputer,5891,0.00507583
1-Slow,PF3D7_1421500_MeanImputer,5410,0.005068849
1-Slow,PF3D7_1252600_MeanImputer,4346,0.005046979
1-Slow,PF3D7_0915500_MeanImputer,2576,0.005043435
1-Slow,PF3D7_0716700_MeanImputer,1872,0.005033061
1-Slow,PF3D7_1005600_MeanImputer,2889,0.005004684
1-Slow,PF3D7_0404200_MeanImputer,710,0.00498185
1-Slow,PF3D7_0910500_MeanImputer,2519,0.004931257
1-Slow,PF3D7_1324900_MeanImputer,4666,0.004902258
1-Slow,PF3D7_1200200_MeanImputer,3764,0.004890201
1-Slow,PF3D7_1024000_MeanImputer,3088,0.004838127
1-Slow,PF3D7_0301000_MeanImputer,399,0.004831642
1-Slow,PF3D7_1325600_MeanImputer,4673,0.004797771
1-Slow,PF3D7_1328200_MeanImputer,4698,0.004767628
2-NULL,PF3D7_0308700_MeanImputer,485,0.004733882
2-NULL,PF3D7_0807100_MeanImputer,2117,0.004708626
2-NULL,PF3D7_1428000_MeanImputer,5466,0.004706921
2-NULL,PF3D7_0115200_ImputationMarker,153,0.004684348
2-NULL,PF3D7_1010400_MeanImputer,2943,0.004678014
2-NULL,PF3D7_1244700_MeanImputer,4253,0.004672783
2-NULL,PF3D7_1011400_MeanImputer,2954,0.00467156
2-NULL,PF3D7_1121200_MeanImputer,3458,0.004667354
2-NULL,PF3D7_0615600_MeanImputer,1510,0.004632504
2-NULL,PF3D7_1024800_MeanImputer,3097,0.004626018
2-NULL,PF3D7_1427000_MeanImputer,5457,0.004569728
2-NULL,PF3D7_1213200_MeanImputer,3909,0.004543058
2-NULL,PF3D7_1150300_MeanImputer,3760,0.00454117
2-NULL,PF3D7_0214300_MeanImputer,305,0.004540378
2-NULL,PF3D7_0935500_MeanImputer,2798,0.004538846
2-NULL,PF3D7_0302700_MeanImputer,419,0.004535766
2-NULL,PF3D7_1226000_MeanImputer,4061,0.004521654
2-NULL,PF3D7_0937200_MeanImputer,2816,0.004520647
2-NULL,PF3D7_0505900_MeanImputer,1023,0.004512675
2-NULL,PF3D7_1011500_MeanImputer,2955,0.004500754
2-NULL,PF3D7_0923400_MeanImputer,2669,0.004496493
2-NULL,PF3D7_0514900_MeanImputer,1129,0.004495134
2-NULL,PF3D7_0719500_MeanImputer,1902,0.004479246
2-NULL,PF3D7_0725100_MeanImputer,1968,0.004471239
2-NULL,PF3D7_1335900_MeanImputer,4780,0.00445217
2-NULL,PF3D7_1439900_MeanImputer,5604,0.004445223
2-NULL,PF3D7_0502400_MeanImputer,983,0.004429504
2-NULL,PF3D7_1328800_MeanImputer,4704,0.00438985
2-NULL,PF3D7_0300700_MeanImputer,396,0.004352091
2-NULL,PF3D7_1429800_MeanImputer,5483,0.004332963
2-NULL,PF3D7_0304700_MeanImputer,440,0.004325605
2-NULL,PF3D7_1458500_MeanImputer,5806,0.004322888
2-NULL,PF3D7_1131200_MeanImputer,3564,0.004310438
2-NULL,PF3D7_0609200_MeanImputer,1436,0.004282554
2-NULL,PF3D7_1120500_MeanImputer,3449,0.004261941
2-NULL,PF3D7_1219700_MeanImputer,3990,0.004258931
2-NULL,PF3D7_1472400_MeanImputer,5957,0.004248107
2-NULL,PF3D7_0515600_MeanImputer,1136,0.004209704
2-NULL,PF3D7_0910200_MeanImputer,2516,0.004193722
2-NULL,PF3D7_0206500_MeanImputer,222,0.004183315
2-NULL,PF3D7_1228400_MeanImputer,4087,0.004145054
2-NULL,PF3D7_1317700_MeanImputer,4580,0.004126025
2-NULL,PF3D7_1329000_MeanImputer,4706,0.004112089
2-NULL,PF3D7_1431500_MeanImputer,5505,0.004084696
2-NULL,PF3D7_1231600_MeanImputer,4119,0.004054776
2-NULL,PF3D7_1309200_MeanImputer,4479,0.00405294
2-NULL,PF3D7_0611600_MeanImputer,1464,0.004046947
2-NULL,PF3D7_1229100_MeanImputer,4094,0.003997489
2-NULL,PF3D7_1430400_MeanImputer,5490,0.003988519
2-NULL,PF3D7_0728900_MeanImputer,2002,0.003987657
2-NULL,PF3D7_0908100_MeanImputer,2491,0.003974874
2-NULL,PF3D7_0412000_MeanImputer,802,0.003971143
2-NULL,PF3D7_0912800_MeanImputer,2546,0.003965272
2-NULL,PF3D7_1442800_MeanImputer,5633,0.003961186
2-NULL,PF3D7_1334600_MeanImputer,4766,0.003955904
2-NULL,PF3D7_1300300_MeanImputer,4380,0.003947223
2-NULL,PF3D7_1021100_MeanImputer,3052,0.003926594
2-NULL,PF3D7_0719100_MeanImputer,1897,0.003920746
2-NULL,PF3D7_0419900_MeanImputer,893,0.003898387
2-NULL,PF3D7_0308800_MeanImputer,486,0.003877394
2-NULL,PF3D7_1307200_MeanImputer,4455,0.003844897
2-NULL,PF3D7_1218900_MeanImputer,3982,0.003839448
2-NULL,PF3D7_0604300_MeanImputer,1383,0.003814218
2-NULL,PF3D7_0926700_MeanImputer,2703,0.003811695
2-NULL,PF3D7_0519200_MeanImputer,1181,0.003803579
2-NULL,PF3D7_0827800_MeanImputer,2355,0.003802417
2-NULL,PF3D7_1141900_MeanImputer,3677,0.003791518
2-NULL,PF3D7_1118200_MeanImputer,3425,0.003781638
2-NULL,PF3D7_1139600_MeanImputer,3648,0.00377361
2-NULL,PF3D7_1224500_MeanImputer,4045,0.003771298
2-NULL,PF3D7_1352800_MeanImputer,4970,0.003743322
2-NULL,PF3D7_1357400_MeanImputer,5023,0.003704154
2-NULL,PF3D7_1346400_MeanImputer,4896,0.003703988
2-NULL,PF3D7_1224400_MeanImputer,4044,0.003699997
2-NULL,PF3D7_1251700_MeanImputer,4335,0.003669171
2-NULL,PF3D7_0523700_MeanImputer,1231,0.003664552
2-NULL,PF3D7_1367900_MeanImputer,5140,0.00365486
2-NULL,PF3D7_0926400_MeanImputer,2699,0.003651518
2-NULL,PF3D7_0400500_MeanImputer,668,0.003625147
2-NULL,PF3D7_1437500_MeanImputer,5575,0.003613248
2-NULL,PF3D7_0322600_MeanImputer,642,0.003608187
2-NULL,PF3D7_0928600_MeanImputer,2726,0.003598788
2-NULL,PF3D7_0723200_MeanImputer,1946,0.003582933
2-NULL,PF3D7_1236700_MeanImputer,4172,0.00357806
2-NULL,PF3D7_0406200_MeanImputer,735,0.003563283
2-NULL,PF3D7_1434600_MeanImputer,5537,0.003545948
2-NULL,PF3D7_0726600_MeanImputer,1978,0.003511561
2-NULL,PF3D7_1004000_MeanImputer,2869,0.003493526
2-NULL,PF3D7_1429900_MeanImputer,5484,0.003477896
2-NULL,PF3D7_1240400_MeanImputer,4210,0.003458203
2-NULL,PF3D7_1315300_MeanImputer,4552,0.00345382
2-NULL,PF3D7_0831400_MeanImputer,2392,0.003443117
2-NULL,PF3D7_1402200_MeanImputer,5215,0.003435663
2-NULL,PF3D7_1022300_MeanImputer,3067,0.003435518
2-NULL,PF3D7_1476200_MeanImputer,6001,0.003430237
2-NULL,PF3D7_0716900_MeanImputer,1874,0.003410927
2-NULL,PF3D7_1207900_MeanImputer,3856,0.003403821
2-NULL,PF3D7_0305400_MeanImputer,449,0.003395094
2-NULL,PF3D7_1437600_MeanImputer,5576,0.003386635
2-NULL,PF3D7_1208700_MeanImputer,3866,0.003381312
2-NULL,PF3D7_0608300_MeanImputer,1425,0.003374939
2-NULL,PF3D7_1320300_MeanImputer,4614,0.003373593
2-NULL,PF3D7_1132900_MeanImputer,3585,0.003371586
2-NULL,PF3D7_1476400_MeanImputer,6003,0.003349848
2-NULL,PF3D7_1030000_MeanImputer,3142,0.003344676
2-NULL,PF3D7_0632400_MeanImputer,1693,0.003337427
2-NULL,PF3D7_0924100_MeanImputer,2676,0.00333165
2-NULL,PF3D7_0820400_MeanImputer,2266,0.003327666
2-NULL,PF3D7_1366600_MeanImputer,5124,0.003319384
2-NULL,PF3D7_1409800_MeanImputer,5293,0.00331688
2-NULL,PF3D7_1456900_MeanImputer,5788,0.003302902
2-NULL,PF3D7_1420600_MeanImputer,5400,0.003298731
2-NULL,PF3D7_0620500_MeanImputer,1561,0.003296566
2-NULL,PF3D7_0412300_MeanImputer,807,0.003286579
2-NULL,PF3D7_0206300_MeanImputer,221,0.003280396
2-NULL,PF3D7_0213000_ImputationMarker,291,0.003270223
2-NULL,PF3D7_1405200_MeanImputer,5244,0.003264291
2-NULL,PF3D7_1114000_MeanImputer,3384,0.003250632
2-NULL,PF3D7_0514800_MeanImputer,1128,0.003243794
2-NULL,PF3D7_1419000_MeanImputer,5385,0.003239533
2-NULL,PF3D7_0703700_MeanImputer,1733,0.003237197
2-NULL,PF3D7_1124200_MeanImputer,3492,0.003224421
2-NULL,PF3D7_1205700_MeanImputer,3830,0.003216896
2-NULL,PF3D7_0205900_MeanImputer,216,0.003209549
2-NULL,PF3D7_1367800_MeanImputer,5139,0.003209385
2-NULL,PF3D7_0723100_MeanImputer,1944,0.003183425
2-NULL,PF3D7_0408100_MeanImputer,756,0.003174453
2-NULL,PF3D7_1251800_MeanImputer,4336,0.003167778
2-NULL,PF3D7_1140600_MeanImputer,3661,0.003161833
2-NULL,PF3D7_0709300_MeanImputer,1792,0.00314889
2-NULL,PF3D7_0814600_MeanImputer,2196,0.003142014
2-NULL,PF3D7_1446100_MeanImputer,5667,0.003140739
2-NULL,PF3D7_1423000_MeanImputer,5425,0.003132263
2-NULL,PF3D7_1137500_MeanImputer,3629,0.003127276
2-NULL,PF3D7_0310200_MeanImputer,500,0.003125547
2-NULL,PF3D7_1366800_MeanImputer,5126,0.003108948
2-NULL,PF3D7_1362700_MeanImputer,5079,0.003106468
2-NULL,PF3D7_1214800_MeanImputer,3931,0.003089384
2-NULL,PF3D7_1014200_MeanImputer,2983,0.003081796
2-NULL,PF3D7_0936100_MeanImputer,2805,0.003077744
2-NULL,PF3D7_1360100_MeanImputer,5051,0.003071391
2-NULL,PF3D7_0204600_MeanImputer,205,0.00306206
2-NULL,PF3D7_1235400_MeanImputer,4159,0.003060419
2-NULL,PF3D7_0507600_MeanImputer,1040,0.003059809
2-NULL,PF3D7_1126100_MeanImputer,3512,0.003026487
2-NULL,PF3D7_1400100_MeanImputer,5186,0.003021549
2-NULL,PF3D7_1210500_MeanImputer,3884,0.003016238
2-NULL,PF3D7_0404900_MeanImputer,719,0.003012298
2-NULL,PF3D7_1445800_MeanImputer,5665,0.003002249
2-NULL,PF3D7_1450300_MeanImputer,5710,0.002997944
2-NULL,PF3D7_0103600_MeanImputer,34,0.002994478
2-NULL,PF3D7_1329800_MeanImputer,4715,0.002986802
2-NULL,PF3D7_1348000_MeanImputer,4914,0.002981264
2-NULL,PF3D7_0814200_MeanImputer,2192,0.002974421
2-NULL,PF3D7_1314300_MeanImputer,4539,0.002960936
2-NULL,PF3D7_1106800_MeanImputer,3316,0.002955793
2-NULL,PF3D7_1351200_MeanImputer,4954,0.002949844
2-NULL,PF3D7_1303600_MeanImputer,4417,0.002943961
2-NULL,PF3D7_1123300_MeanImputer,3482,0.00294392
2-NULL,PF3D7_1240300_MeanImputer,4209,0.002925341
2-NULL,PF3D7_0210200_MeanImputer,261,0.002910166
2-NULL,PF3D7_0416900_MeanImputer,857,0.002907667
2-NULL,PF3D7_0916600_MeanImputer,2592,0.002906837
2-NULL,PF3D7_1241400_MeanImputer,4218,0.002904177
2-NULL,PF3D7_0213900_MeanImputer,300,0.002892864
2-NULL,PF3D7_1402700_MeanImputer,5220,0.002877104
2-NULL,PF3D7_1454800_MeanImputer,5763,0.00287248
2-NULL,PF3D7_1316200_MeanImputer,4564,0.002838747
2-NULL,PF3D7_0528300_MeanImputer,1284,0.002817085
2-NULL,PF3D7_0214500_MeanImputer,307,0.002802467
2-NULL,PF3D7_0608200_MeanImputer,1423,0.002801684
2-NULL,PF3D7_0924700_MeanImputer,2682,0.002794707
2-NULL,PF3D7_0822300_MeanImputer,2287,0.002792844
2-NULL,PF3D7_0209700_MeanImputer,258,0.002791242
2-NULL,PF3D7_0828300_MeanImputer,2361,0.002783367
2-NULL,PF3D7_1233700_MeanImputer,4139,0.002764945
2-NULL,PF3D7_1350600_MeanImputer,4946,0.0027348
2-NULL,PF3D7_0532700_MeanImputer,1335,0.002734208
2-NULL,PF3D7_0408500_MeanImputer,760,0.00271722
2-NULL,PF3D7_1311600_MeanImputer,4507,0.002716076
2-NULL,PF3D7_0627400_MeanImputer,1643,0.00270795
2-NULL,PF3D7_1454400_MeanImputer,5759,0.002706533
2-NULL,PF3D7_0622300_MeanImputer,1584,0.002706108
2-NULL,PF3D7_1444100_MeanImputer,5649,0.002703687
2-NULL,PF3D7_0109100_MeanImputer,92,0.002702548
2-NULL,PF3D7_1417800_MeanImputer,5380,0.002691076
2-NULL,PF3D7_0831000_MeanImputer,2387,0.002688474
2-NULL,PF3D7_0621700_MeanImputer,1576,0.002682945
2-NULL,PF3D7_1467600_MeanImputer,5904,0.002676104
2-NULL,PF3D7_0620100_MeanImputer,1555,0.002669613
2-NULL,PF3D7_0513400_MeanImputer,1110,0.002663748
2-NULL,PF3D7_0517300_MeanImputer,1155,0.002660778
2-NULL,PF3D7_1311200_MeanImputer,4502,0.002658835
2-NULL,PF3D7_0612400_MeanImputer,1471,0.002649602
2-NULL,PF3D7_0703000_MeanImputer,1724,0.002649162
2-NULL,PF3D7_1244400_MeanImputer,4250,0.002642635
2-NULL,PF3D7_1436600_MeanImputer,5563,0.002640795
2-NULL,PF3D7_1358400_MeanImputer,5033,0.002635464
2-NULL,PF3D7_0518500_MeanImputer,1171,0.002632434
2-NULL,PF3D7_0802300_MeanImputer,2068,0.002628079
2-NULL,PF3D7_1472300_MeanImputer,5956,0.002612333
2-NULL,PF3D7_1254300_MeanImputer,4365,0.00261215
2-NULL,PF3D7_1316100_MeanImputer,4563,0.002609062
2-NULL,PF3D7_1473200_MeanImputer,5966,0.002605541
2-NULL,PF3D7_0729200_MeanImputer,2004,0.00259266
2-NULL,PF3D7_1343400_MeanImputer,4866,0.002589837
2-NULL,PF3D7_1401000_MeanImputer,5199,0.002578478
2-NULL,PF3D7_1032600_MeanImputer,3172,0.002568637
2-NULL,PF3D7_1400300_MeanImputer,5188,0.002566801
2-NULL,PF3D7_0403300_MeanImputer,700,0.002558891
2-NULL,PF3D7_1214000_MeanImputer,3921,0.002553553
2-NULL,PF3D7_1238400_MeanImputer,4189,0.00254596
2-NULL,PF3D7_1142200_MeanImputer,3682,0.002543883
2-NULL,PF3D7_1428100_MeanImputer,5467,0.002526453
2-NULL,PF3D7_0111800_MeanImputer,121,0.002515074
2-NULL,PF3D7_0823700_MeanImputer,2304,0.002505407
2-NULL,PF3D7_0624500_MeanImputer,1606,0.002504982
2-NULL,PF3D7_1120900_MeanImputer,3454,0.002501511
2-NULL,PF3D7_0312100_MeanImputer,523,0.002501383
2-NULL,PF3D7_0914400_MeanImputer,2563,0.00249329
2-NULL,PF3D7_1312900_MeanImputer,4521,0.002492529
2-NULL,PF3D7_1456100_MeanImputer,5777,0.002491686
2-NULL,PF3D7_1246700_MeanImputer,4276,0.002485963
2-NULL,PF3D7_0936500_MeanImputer,2808,0.002477219
2-NULL,PF3D7_1458700_MeanImputer,5808,0.002469524
2-NULL,PF3D7_1321600_MeanImputer,4628,0.002467691
2-NULL,PF3D7_0532900_ImputationMarker,1337,0.002466105
2-NULL,PF3D7_1231200_MeanImputer,4115,0.002457016
2-NULL,PF3D7_1126400_MeanImputer,3515,0.002452954
2-NULL,PF3D7_1468900_MeanImputer,5919,0.002452348
2-NULL,PF3D7_0916200_MeanImputer,2587,0.002448839
2-NULL,PF3D7_1227100_MeanImputer,4072,0.002443679
2-NULL,PF3D7_0200300_MeanImputer,161,0.00243693
2-NULL,PF3D7_0923600_MeanImputer,2671,0.002431036
2-NULL,PF3D7_1479600_MeanImputer,6042,0.002418528
2-NULL,PF3D7_0417800_MeanImputer,867,0.002412004
2-NULL,PF3D7_0933500_MeanImputer,2777,0.002391568
2-NULL,PF3D7_1369600_MeanImputer,5163,0.002388925
