Class,Feature,Feature_ID,Importance
0-Fast,PF3D7_1245300_MeanImputer,4260,0.136853193
0-Fast,PF3D7_1107700_MeanImputer,3325,0.098072677
0-Fast,PF3D7_1328400_MeanImputer,4700,0.092229925
0-Fast,PF3D7_1372000_MeanImputer,5172,0.088830637
0-Fast,PF3D7_1115600_MeanImputer,3400,0.087194598
0-Fast,PF3D7_0608100_MeanImputer,1422,0.080998911
0-Fast,PF3D7_0523000_MeanImputer,1223,0.080238391
0-Fast,PF3D7_1205300_MeanImputer,3826,0.066589545
0-Fast,PF3D7_1129100_MeanImputer,3541,0.066359159
0-Fast,PF3D7_0935400_MeanImputer,2797,0.05847947
0-Fast,PF3D7_1246300_MeanImputer,4272,0.057936908
0-Fast,PF3D7_0805000_MeanImputer,2094,0.057389465
0-Fast,PF3D7_1356600_MeanImputer,5016,0.053743595
0-Fast,PF3D7_0624800_MeanImputer,1609,0.049745203
0-Fast,PF3D7_0914200_MeanImputer,2561,0.049256583
0-Fast,PF3D7_1446200_MeanImputer,5668,0.042311028
0-Fast,PF3D7_0610900_MeanImputer,1455,0.041888679
0-Fast,PF3D7_1129800_MeanImputer,3549,0.039934754
0-Fast,PF3D7_0711700_MeanImputer,1818,0.038907872
0-Fast,PF3D7_1038700_MeanImputer,3233,0.036281537
0-Fast,PF3D7_0727700_MeanImputer,1990,0.035652554
0-Fast,PF3D7_1349200_MeanImputer,4930,0.035586789
0-Fast,PF3D7_0823500_MeanImputer,2302,0.033225156
0-Fast,PF3D7_1220700_MeanImputer,4001,0.031550396
0-Fast,PF3D7_0208800_MeanImputer,245,0.031301742
0-Fast,PF3D7_1106400_MeanImputer,3311,0.030868754
0-Fast,PF3D7_1428200_MeanImputer,5468,0.030584032
0-Fast,PF3D7_0802400_MeanImputer,2069,0.028333861
0-Fast,PF3D7_1318000_MeanImputer,4584,0.025018432
0-Fast,PF3D7_1359800_MeanImputer,5047,0.024993937
0-Fast,PF3D7_0813800_MeanImputer,2187,0.023747475
0-Fast,PF3D7_1133500_MeanImputer,3592,0.023198788
0-Fast,PF3D7_0526700_MeanImputer,1264,0.022862242
0-Fast,PF3D7_1133600_MeanImputer,3593,0.022483455
0-Fast,PF3D7_1442000_MeanImputer,5624,0.022294523
0-Fast,PF3D7_0704600_MeanImputer,1743,0.022290615
0-Fast,PF3D7_1012000_MeanImputer,2961,0.022029801
0-Fast,PF3D7_1408400_MeanImputer,5280,0.021797526
0-Fast,PF3D7_1331600_MeanImputer,4732,0.021234612
0-Fast,PF3D7_1301700_MeanImputer,4398,0.021204716
0-Fast,PF3D7_1010700_MeanImputer,2946,0.02098848
0-Fast,PF3D7_1413200_MeanImputer,5330,0.020182226
0-Fast,PF3D7_1200900_MeanImputer,3774,0.01923166
0-Fast,PF3D7_1253700_MeanImputer,4355,0.018532044
0-Fast,PF3D7_0622000_MeanImputer,1580,0.018137931
0-Fast,PF3D7_0205100_MeanImputer,210,0.017957219
0-Fast,PF3D7_0202500_MeanImputer,188,0.017656828
0-Fast,PF3D7_1001500_MeanImputer,2842,0.017507378
0-Fast,PF3D7_0625200_MeanImputer,1615,0.017130048
0-Fast,PF3D7_0806300_MeanImputer,2108,0.017013825
0-Fast,PF3D7_1013100_MeanImputer,2973,0.016298866
0-Fast,PF3D7_0818600_MeanImputer,2243,0.01625943
0-Fast,PF3D7_1327000_MeanImputer,4687,0.015852616
0-Fast,PF3D7_1455100_MeanImputer,5769,0.015650432
0-Fast,PF3D7_1028200_MeanImputer,3127,0.015454612
0-Fast,PF3D7_1218300_MeanImputer,3976,0.015424291
0-Fast,PF3D7_1135800_MeanImputer,3614,0.015392859
0-Fast,PF3D7_1420700_MeanImputer,5401,0.014406698
0-Fast,PF3D7_1444800_MeanImputer,5655,0.014294598
0-Fast,PF3D7_0515200_MeanImputer,1132,0.013905648
0-Fast,PF3D7_1315100_MeanImputer,4549,0.013811264
0-Fast,PF3D7_0322000_MeanImputer,635,0.012944946
0-Fast,PF3D7_1365600_MeanImputer,5111,0.012393876
0-Fast,PF3D7_1422700_MeanImputer,5421,0.012341458
0-Fast,PF3D7_0502600_MeanImputer,985,0.012319845
0-Fast,PF3D7_1357200_MeanImputer,5020,0.011944159
0-Fast,PF3D7_0106100_MeanImputer,59,0.011825293
0-Fast,PF3D7_1130500_MeanImputer,3556,0.01175761
0-Fast,PF3D7_1221600_MeanImputer,4010,0.011692748
0-Fast,PF3D7_0628700_MeanImputer,1661,0.011602831
0-Fast,PF3D7_0413400_MeanImputer,815,0.011245713
0-Fast,PF3D7_1223800_MeanImputer,4037,0.011242192
0-Fast,PF3D7_1247300_MeanImputer,4281,0.011192655
0-Fast,PF3D7_1466400_MeanImputer,5892,0.011168672
0-Fast,PF3D7_0713200_MeanImputer,1829,0.011143407
0-Fast,PF3D7_1416300_MeanImputer,5361,0.011121677
0-Fast,PF3D7_1109200_MeanImputer,3341,0.011039205
0-Fast,PF3D7_0201900_MeanImputer,180,0.011028337
0-Fast,PF3D7_0715000_MeanImputer,1852,0.010879791
0-Fast,PF3D7_1249900_MeanImputer,4316,0.010810226
0-Fast,PF3D7_1316600_MeanImputer,4568,0.010775637
0-Fast,PF3D7_1035800_MeanImputer,3206,0.010731571
0-Fast,PF3D7_0202000_MeanImputer,181,0.010710332
0-Fast,PF3D7_1212100_MeanImputer,3901,0.010704446
0-Fast,PF3D7_1119100_MeanImputer,3436,0.010690485
0-Fast,PF3D7_0208200_MeanImputer,239,0.010497551
0-Fast,PF3D7_1238900_MeanImputer,4195,0.010409632
0-Fast,PF3D7_1411900_MeanImputer,5314,0.010269178
0-Fast,PF3D7_1249500_MeanImputer,4311,0.010216873
0-Fast,PF3D7_1203000_MeanImputer,3802,0.010177085
0-Fast,PF3D7_0220400_MeanImputer,365,0.010048731
0-Fast,PF3D7_1351000_MeanImputer,4952,0.010033812
0-Fast,PF3D7_1320400_MeanImputer,4615,0.010018351
0-Fast,PF3D7_1451300_MeanImputer,5720,0.009982759
0-Fast,PF3D7_0626200_MeanImputer,1628,0.009827646
0-Fast,PF3D7_0403700_MeanImputer,704,0.009809273
0-Fast,PF3D7_1476800_MeanImputer,6008,0.009801154
0-Fast,PF3D7_0925100_MeanImputer,2685,0.009579226
0-Fast,PF3D7_0720500_MeanImputer,1915,0.009534477
0-Fast,PF3D7_1472800_MeanImputer,5961,0.00930297
1-Slow,PF3D7_0310700_MeanImputer,504,0.009230868
1-Slow,PF3D7_0933900_MeanImputer,2781,0.009217806
1-Slow,PF3D7_0825800_MeanImputer,2330,0.009173895
1-Slow,PF3D7_0306300_MeanImputer,461,0.009169681
1-Slow,PF3D7_1329500_MeanImputer,4711,0.008901546
1-Slow,PF3D7_1428400_MeanImputer,5470,0.008862347
1-Slow,PF3D7_0620300_MeanImputer,1559,0.008832071
1-Slow,PF3D7_0830800_MeanImputer,2385,0.008777705
1-Slow,PF3D7_1117400_MeanImputer,3418,0.008725469
1-Slow,PF3D7_1350300_MeanImputer,4943,0.008587158
1-Slow,PF3D7_1476700_MeanImputer,6006,0.008534215
1-Slow,PF3D7_0917000_MeanImputer,2597,0.008434691
1-Slow,PF3D7_0806600_MeanImputer,2112,0.008428521
1-Slow,PF3D7_0616300_MeanImputer,1517,0.008362279
1-Slow,PF3D7_0830600_MeanImputer,2382,0.0081438
1-Slow,PF3D7_0114900_MeanImputer,150,0.008130115
1-Slow,PF3D7_1329200_MeanImputer,4708,0.008109918
1-Slow,PF3D7_1413100_MeanImputer,5328,0.007966037
1-Slow,PF3D7_1407500_MeanImputer,5268,0.007824019
1-Slow,PF3D7_1224600_MeanImputer,4046,0.007789119
1-Slow,PF3D7_0922400_MeanImputer,2657,0.007607035
1-Slow,PF3D7_1357300_MeanImputer,5021,0.007496202
1-Slow,PF3D7_0816300_MeanImputer,2217,0.007493789
